date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:02	34119/34119	---M--	200	added ('OK')	image/jpeg	etag:%225ad727d9-8547%22	https://static.relax.ua/images/common/journal/logos/24a87e319dbc30b9779617e1ddc00e27.jpg	C:/HobbyFinder/HFproj/static.relax.ua/images/common/journal/logos/24a87e319dbc30b9779617e1ddc00e27.jpg	(from https://mag.relax.ua/main/)
12:34:02	30411/30411	---M--	200	added ('OK')	image/jpeg	etag:%225ad70c60-76cb%22	https://static.relax.ua/images/common/journal/logos/d9990941e1b3e9ca7a6f75786d5927d1.JPG	C:/HobbyFinder/HFproj/static.relax.ua/images/common/journal/logos/d9990941e1b3e9ca7a6f75786d5927d1.jpg	(from https://mag.relax.ua/main/)
12:34:02	22100/22100	---M--	200	added ('OK')	image/jpeg	etag:%225ad6fcba-5654%22	https://static.relax.ua/images/common/journal/logos/7be9e4a8500b74f2ae5909bd9cab4d79.jpg	C:/HobbyFinder/HFproj/static.relax.ua/images/common/journal/logos/7be9e4a8500b74f2ae5909bd9cab4d79.jpg	(from https://mag.relax.ua/main/)
12:34:04	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2024%20Apr%202018%2009:34:00%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/HobbyFinder/HFproj/www.googletagmanager.com/gtm.305445.delayed	(from https://mag.relax.ua/main/)
12:34:04	45390/45390	---M--	200	added ('OK')	image/jpeg	etag:%225ac4a331-b14e%22	https://static.relax.ua/images/common/afisha/logos/07d4ff4888b6bff916ad7b7caf88fa2c.jpg	C:/HobbyFinder/HFproj/static.relax.ua/images/common/afisha/logos/07d4ff4888b6bff916ad7b7caf88fa2c.jpg	(from https://mag.relax.ua/main/)
12:34:04	312791/312791	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Apr%202018%2009:33:57%20GMT	https://mag.relax.ua/main/?page=3	C:/HobbyFinder/HFproj/mag.relax.ua/main/index9ba9.html	(from https://mag.relax.ua/main/)
12:34:05	313136/313136	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Apr%202018%2009:33:57%20GMT	https://mag.relax.ua/main/?page=4	C:/HobbyFinder/HFproj/mag.relax.ua/main/indexfdb0.html	(from https://mag.relax.ua/main/)
12:34:08	312170/312170	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Apr%202018%2009:33:59%20GMT	https://mag.relax.ua/main/?page=6	C:/HobbyFinder/HFproj/mag.relax.ua/main/indexc575.html	(from https://mag.relax.ua/main/)
12:34:09	312780/312780	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Apr%202018%2009:33:59%20GMT	https://mag.relax.ua/main/?page=5	C:/HobbyFinder/HFproj/mag.relax.ua/main/indexaf4d.html	(from https://mag.relax.ua/main/)
12:34:10	312748/312748	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Apr%202018%2009:34:00%20GMT	https://mag.relax.ua/main/?page=7	C:/HobbyFinder/HFproj/mag.relax.ua/main/index235c.html	(from https://mag.relax.ua/main/)
